image_path,actual,predicted,confidence
datasets\crop_disease\test\Blight\test_000015.jpg,Blight,LeafSpot,0.8006951808929443
datasets\crop_disease\test\Blight\test_000018.jpg,Blight,LeafSpot,0.8871586918830872
datasets\crop_disease\test\Blight\test_000048.jpg,Blight,LeafSpot,0.9254401922225952
datasets\crop_disease\test\Blight\test_000086.jpg,Blight,LeafSpot,0.6223828792572021
datasets\crop_disease\test\Blight\test_000099.jpg,Blight,LeafSpot,0.9904131293296814
datasets\crop_disease\test\Blight\test_000100.jpg,Blight,LeafSpot,0.6585627198219299
datasets\crop_disease\test\Blight\test_000136.jpg,Blight,LeafSpot,0.6951674818992615
datasets\crop_disease\test\Blight\test_000149.jpg,Blight,Rust,0.4488539397716522
datasets\crop_disease\test\Blight\test_000162.jpg,Blight,LeafSpot,0.8455498814582825
datasets\crop_disease\test\Blight\test_000164.jpg,Blight,LeafSpot,0.7855460047721863
datasets\crop_disease\test\Blight\test_000422.jpg,Blight,Healthy,0.7990620732307434
datasets\crop_disease\test\Blight\test_000556.jpg,Blight,Healthy,0.5224905610084534
datasets\crop_disease\test\Blight\test_000567.jpg,Blight,Healthy,0.5520533323287964
datasets\crop_disease\test\Blight\test_000665.jpg,Blight,LeafSpot,0.9817219376564026
datasets\crop_disease\test\Blight\test_000710.jpg,Blight,LeafSpot,0.6491678953170776
datasets\crop_disease\test\Blight\test_000724.jpg,Blight,LeafSpot,0.8663774728775024
datasets\crop_disease\test\Blight\test_000760.jpg,Blight,LeafSpot,0.6523191332817078
datasets\crop_disease\test\Blight\test_000778.jpg,Blight,LeafSpot,0.748788595199585
datasets\crop_disease\test\Blight\test_000783.jpg,Blight,LeafSpot,0.804594099521637
datasets\crop_disease\test\Blight\test_000977.jpg,Blight,LeafSpot,0.9124132394790649
datasets\crop_disease\test\Blight\test_000993.jpg,Blight,LeafSpot,0.7092248797416687
datasets\crop_disease\test\Blight\test_000995.jpg,Blight,LeafSpot,0.5919728875160217
datasets\crop_disease\test\Blight\test_001054.jpg,Blight,LeafSpot,0.6447612047195435
datasets\crop_disease\test\Blight\test_001108.jpg,Blight,Healthy,0.5698862075805664
datasets\crop_disease\test\Blight\test_001155.jpg,Blight,Healthy,0.5225432515144348
datasets\crop_disease\test\Healthy\test_001520.jpg,Healthy,Blight,0.564538300037384
datasets\crop_disease\test\Healthy\test_001983.jpg,Healthy,LeafSpot,0.371614545583725
datasets\crop_disease\test\Healthy\test_002688.jpg,Healthy,LeafSpot,0.8656419515609741
datasets\crop_disease\test\Healthy\test_002908.jpg,Healthy,Blight,0.8669455647468567
datasets\crop_disease\test\LeafSpot\test_000035.jpg,LeafSpot,Blight,0.772916853427887
datasets\crop_disease\test\LeafSpot\test_000054.jpg,LeafSpot,Blight,0.5888024568557739
datasets\crop_disease\test\LeafSpot\test_000076.jpg,LeafSpot,Blight,0.9756447076797485
datasets\crop_disease\test\LeafSpot\test_000080.jpg,LeafSpot,Blight,0.5589300394058228
datasets\crop_disease\test\LeafSpot\test_000098.jpg,LeafSpot,Blight,0.9334962368011475
datasets\crop_disease\test\LeafSpot\test_000101.jpg,LeafSpot,Blight,0.9137701392173767
datasets\crop_disease\test\LeafSpot\test_000344.jpg,LeafSpot,Blight,0.9332213401794434
datasets\crop_disease\test\LeafSpot\test_000350.jpg,LeafSpot,Blight,0.6628956198692322
datasets\crop_disease\test\LeafSpot\test_000370.jpg,LeafSpot,Blight,0.5237601399421692
datasets\crop_disease\test\LeafSpot\test_000371.jpg,LeafSpot,Blight,0.5310664772987366
datasets\crop_disease\test\LeafSpot\test_000560.jpg,LeafSpot,Blight,0.924077570438385
datasets\crop_disease\test\Mildew\test_000023.jpg,Mildew,Healthy,0.5695044994354248
datasets\crop_disease\test\Rust\test_000116.jpg,Rust,Blight,0.9049875140190125
