hotspot_id,latitude,longitude,observation_count,dominant_disease,dominance_ratio,average_confidence
1,40.00006000,-73.99972000,5,Blight,1.0000,0.9904
2,40.00005000,-73.99940000,6,Blight,1.0000,0.9957
3,40.00004000,-73.99892000,5,Blight,1.0000,0.9886
4,40.00011667,-73.99858333,6,Blight,1.0000,0.9886
5,40.00011667,-73.99828333,6,Blight,1.0000,0.9880
6,40.00016000,-73.99992000,5,Blight,1.0000,0.9971
7,40.00024000,-73.99958000,5,Blight,1.0000,0.9848
8,40.00030000,-73.99932000,5,Blight,1.0000,0.9917
9,40.00025000,-73.99890000,6,Blight,1.0000,0.9868
10,40.00027500,-73.99862500,4,Blight,1.0000,0.9959
11,40.00032000,-73.99828000,5,Blight,1.0000,0.9878
12,40.00034000,-73.99990000,5,Blight,1.0000,0.9937
13,40.00041667,-73.99908333,6,Blight,1.0000,0.9923
14,40.00044000,-73.99958000,5,Blight,1.0000,0.9812
15,40.00050000,-73.99882000,5,Blight,1.0000,0.9869
16,40.00045000,-73.99840000,4,Blight,1.0000,0.9961
17,40.00046667,-73.99813333,3,Blight,0.6667,0.9802
18,40.00055000,-73.99980000,4,Blight,1.0000,0.9914
19,40.00055000,-73.99935000,4,Blight,1.0000,0.9963
20,40.00062500,-73.99900000,4,Blight,1.0000,0.9975
21,40.00065000,-73.99860000,6,Blight,1.0000,0.9861
22,40.00071667,-73.99828333,6,Blight,1.0000,0.9907
23,40.00074000,-73.99992000,5,Blight,1.0000,0.9833
24,40.00070000,-73.99930000,3,Blight,1.0000,0.9963
25,40.00080000,-73.99880000,5,Blight,1.0000,0.9913
26,40.00091667,-73.99968333,6,Blight,1.0000,0.9968
27,40.00086667,-73.99946667,3,Blight,1.0000,0.9992
28,40.00092000,-73.99898000,5,Blight,1.0000,0.9973
29,40.00084000,-73.99852000,5,Blight,1.0000,0.9952
30,40.00086667,-73.99813333,3,Blight,1.0000,0.9984
31,40.00096000,-73.99992000,5,Blight,1.0000,0.9993
32,40.00101667,-73.99918333,6,Blight,1.0000,0.9983
33,40.00101667,-73.99828333,6,Blight,1.0000,0.9996
34,40.00106000,-73.99942000,5,Blight,1.0000,0.9996
35,40.00105000,-73.99870000,6,Blight,1.0000,1.0000
36,40.00106667,-73.99846667,3,Blight,1.0000,1.0000
37,40.00115000,-73.99990000,6,Blight,1.0000,0.9980
38,40.00116000,-73.99962000,5,Blight,1.0000,0.9998
39,40.00116000,-73.99892000,5,Blight,1.0000,0.9960
40,40.00125000,-73.99930000,6,Blight,1.0000,0.9997
41,40.00130000,-73.99902000,5,Blight,1.0000,0.9999
42,40.00125000,-73.99860000,6,Blight,1.0000,0.9992
43,40.00125000,-73.99830000,6,Blight,1.0000,0.9999
44,40.00134000,-73.99988000,5,Blight,1.0000,0.9999
45,40.00135000,-73.99960000,6,Blight,1.0000,1.0000
46,40.00141667,-73.99878333,6,Blight,1.0000,0.9998
47,40.00145000,-73.99930000,6,Blight,1.0000,0.9998
48,40.00150000,-73.99902000,5,Blight,1.0000,0.9908
49,40.00145000,-73.99850000,6,Blight,1.0000,0.9980
50,40.00144000,-73.99822000,5,Blight,1.0000,0.9999
51,40.00154000,-73.99992000,5,Blight,1.0000,0.9998
52,40.00155000,-73.99960000,6,Blight,1.0000,0.9998
53,40.00165000,-73.99930000,6,Blight,1.0000,0.9999
54,40.00166667,-73.99906667,3,Blight,1.0000,0.9988
55,40.00164000,-73.99878000,5,Blight,1.0000,0.9999
56,40.00165000,-73.99850000,6,Blight,1.0000,0.9993
57,40.00165000,-73.99820000,6,Blight,1.0000,0.9998
58,40.00175000,-73.99990000,6,Blight,1.0000,0.9997
59,40.00175000,-73.99960000,6,Blight,1.0000,0.9998
60,40.00185000,-73.99930000,6,Blight,1.0000,0.9984
61,40.00185000,-73.99900000,6,Blight,1.0000,0.9977
62,40.00184000,-73.99872000,5,Blight,1.0000,0.9936
63,40.00185000,-73.99840000,6,Blight,1.0000,0.9997
64,40.00185000,-73.99815000,4,Blight,1.0000,0.9882
65,40.00195000,-73.99990000,6,Blight,1.0000,0.9938
